dates,close,index,evt
10/26/2006,1.697,40591.1,0
10/27/2006,1.684,40683.3,0
10/30/2006,1.647,40081.4,0
10/31/2006,1.647,40582.3,0
11/1/2006,1.61,40601.7,0
11/2/2006,1.635,39504.1,0
11/3/2006,1.622,39307.1,0
11/6/2006,1.635,39675.9,0
11/7/2006,1.635,40163.7,0
11/8/2006,1.635,39736.7,0
11/9/2006,1.635,39890.9,0
11/10/2006,1.635,39627.2,0
11/13/2006,1.622,39030.3,0
11/14/2006,1.61,39655.1,0
11/15/2006,1.622,39654.1,0
11/16/2006,1.622,39268.1,0
11/17/2006,1.635,38432.8,0
11/20/2006,1.635,38346.6,0
11/21/2006,1.622,38501.1,0
11/22/2006,1.622,37733.6,0
11/23/2006,1.622,38077.1,0
11/24/2006,1.622,37582.1,0
11/27/2006,1.622,38238.6,0
11/28/2006,1.635,37183.8,0
11/29/2006,1.635,38066.9,0
11/30/2006,1.635,38168.5,0
12/1/2006,1.635,38196.5,0
12/4/2006,1.622,37654.7,0
12/5/2006,1.622,38163,0
12/6/2006,1.635,38184.8,0
12/7/2006,1.635,39857.8,0
12/8/2006,1.622,39320.5,0
12/11/2006,1.622,39461.9,0
12/12/2006,1.622,39213,0
12/13/2006,1.622,38874.9,0
12/14/2006,1.622,39595.4,0
12/15/2006,1.635,40204.8,0
12/18/2006,1.622,39832.5,0
12/19/2006,1.635,39071.1,0
12/20/2006,1.622,38996.7,0
12/21/2006,1.622,39082.9,0
12/22/2006,1.635,39180.2,0
12/25/2006,1.622,38705.4,0
12/26/2006,1.647,38766.6,0
12/27/2006,1.746,38610.6,0
12/28/2006,1.808,39138.2,0
12/29/2006,1.771,39117.5,0
1/1/2007,1.771,39117.5,0
1/2/2007,1.771,39117.5,0
1/3/2007,1.771,39117.5,0
1/4/2007,1.734,39006.3,0
1/5/2007,1.746,38435.1,0
1/8/2007,1.746,37832.1,0
1/9/2007,1.746,37083.1,0
1/10/2007,1.734,36629.9,0
1/11/2007,1.771,37640.4,0
1/12/2007,1.759,38138.2,0
1/15/2007,1.759,39042.9,0
1/16/2007,1.957,38888.5,0
1/17/2007,2.044,39218.1,0
1/18/2007,2.019,40256.3,0
1/19/2007,1.957,40201.1,0
1/22/2007,1.982,41246.9,0
1/23/2007,2.044,41250.1,0
1/24/2007,2.006,42035.5,0
1/25/2007,1.994,42122.7,0
1/26/2007,2.031,41846.4,0
1/29/2007,2.031,41397.4,0
1/30/2007,2.031,41357.5,0
1/31/2007,2.019,41182.6,0
2/1/2007,2.006,42302,0
2/2/2007,2.006,43112.5,0
2/5/2007,1.994,42700.5,1
2/6/2007,1.982,42501.4,0
2/7/2007,1.969,42099,0
2/8/2007,1.994,41645.2,0
2/9/2007,1.994,42185.5,0
2/12/2007,2.031,42025.9,0
2/13/2007,2.031,42551.6,0
2/14/2007,1.982,43256.3,0
2/15/2007,1.982,43813.7,0
2/16/2007,2.006,43636.2,0
2/19/2007,1.969,44252.9,0
2/20/2007,1.982,44061.5,0
2/21/2007,1.957,42888.6,0
2/22/2007,1.982,43829.1,0
2/23/2007,2.006,43591.7,1
2/26/2007,1.982,43736.8,0
2/27/2007,1.957,41774,0
2/28/2007,1.957,41431,0
3/1/2007,1.957,39588.2,0
3/2/2007,1.957,40550.3,0
3/5/2007,1.969,39729.4,0
3/6/2007,1.982,40230.8,0
3/7/2007,2.006,40406.5,0
3/8/2007,2.006,41406.9,0
3/9/2007,1.969,42056.3,0
3/12/2007,1.969,41978.3,0
3/13/2007,1.957,41666,0
3/14/2007,1.969,40501.9,0
3/15/2007,1.957,41195.2,0
3/16/2007,1.982,41819.8,1
3/19/2007,1.969,41922.2,0
3/20/2007,1.969,41817.7,0
3/21/2007,1.969,42419.4,0
3/22/2007,1.969,43239.8,0
3/23/2007,1.969,43408.7,0
3/26/2007,1.957,43263.6,0
3/27/2007,1.957,43097.1,0
3/28/2007,1.957,43079.5,0
3/29/2007,1.969,43666.2,0
3/30/2007,2.031,43661.1,0
4/2/2007,2.006,43542.2,0
4/3/2007,1.982,44309.3,0
4/4/2007,1.982,44660.7,0
4/5/2007,1.994,45714.1,0
4/6/2007,2.006,45845.2,0
4/9/2007,1.982,45889.2,0
4/10/2007,1.969,45339.8,0
4/11/2007,1.957,46105.8,0
4/12/2007,1.969,45566.1,0
4/13/2007,1.969,46044.2,0
4/16/2007,1.969,46697.1,0
4/17/2007,1.982,46621.5,0
4/18/2007,1.969,45634,0
4/19/2007,1.969,46308.1,0
4/20/2007,1.969,47355.8,0
4/23/2007,1.969,47355.8,0
4/24/2007,1.969,47014.9,0
4/25/2007,2.019,48032.7,0
4/26/2007,2.019,47826.1,0
4/27/2007,2.341,46861.3,0
4/30/2007,2.304,44984.4,0
5/1/2007,2.328,43529.5,0
5/2/2007,2.304,44256.1,0
5/3/2007,2.328,45077.7,0
5/4/2007,2.328,44818.1,0
5/7/2007,2.279,44681.1,1
5/8/2007,2.291,44707.3,0
5/9/2007,2.279,45102.7,0
5/10/2007,2.328,45055.6,0
5/11/2007,2.291,44820.8,0
5/14/2007,2.304,45142.2,1
5/15/2007,2.304,44897.7,0
5/16/2007,2.291,45539.7,0
5/17/2007,2.291,45860,0
5/18/2007,2.316,46073.3,0
5/21/2007,2.304,46209.1,0
5/22/2007,2.291,46369.2,0
5/23/2007,2.291,46424.7,0
5/24/2007,2.291,46237.1,0
5/25/2007,2.304,46194.3,0
5/28/2007,2.316,46927.8,0
5/29/2007,2.316,47003,0
5/30/2007,2.291,46274.7,0
5/31/2007,2.291,47081.5,0
6/1/2007,2.304,46490.1,0
6/4/2007,2.291,46111.1,0
6/5/2007,2.304,46451.6,0
6/6/2007,2.291,45861,0
6/7/2007,2.291,44843.9,0
6/8/2007,2.291,44332.4,0
6/11/2007,2.304,44893.7,0
6/12/2007,2.291,44372,0
6/13/2007,2.291,44629.5,0
6/14/2007,2.328,44675.5,0
6/15/2007,2.316,45971.8,0
6/18/2007,2.316,46367.6,0
6/19/2007,2.304,46231.8,0
6/20/2007,2.291,46251.2,0
6/21/2007,2.304,45952.4,0
6/22/2007,2.304,45705.1,0
6/25/2007,2.341,45417.1,0
6/26/2007,2.353,46010.1,0
6/27/2007,2.378,45161.8,0
6/28/2007,2.291,46181.4,0
6/29/2007,2.304,47093.7,0
7/2/2007,2.291,47730.5,0
7/3/2007,2.304,48680.3,0
7/4/2007,2.304,49476.3,0
7/5/2007,2.291,49850.1,0
7/6/2007,2.291,49895.3,0
7/9/2007,2.304,51281.9,0
7/10/2007,2.304,50557.6,0
7/11/2007,2.316,50055.5,0
7/12/2007,2.316,52005.8,0
7/13/2007,2.291,52086.7,0
7/16/2007,2.304,51774.4,0
7/17/2007,2.316,51643.8,0
7/18/2007,2.304,51112,0
7/19/2007,2.291,53325.3,0
7/20/2007,2.291,52935.8,0
7/23/2007,2.291,55625.4,0
7/24/2007,2.266,54930.7,0
7/25/2007,2.304,54831.9,0
7/26/2007,2.304,52512.4,0
7/27/2007,2.291,51561.9,0
7/30/2007,2.291,51459.2,0
7/31/2007,2.291,52824.9,0
8/1/2007,2.291,51299.3,0
8/2/2007,2.291,51393.6,0
8/3/2007,2.291,50716.4,0
8/6/2007,2.291,50429.9,0
8/7/2007,2.291,50708.2,0
8/8/2007,2.291,52070.6,0
8/9/2007,2.291,49974.8,0
8/10/2007,2.291,49186.4,0
8/13/2007,2.304,50272.5,0
8/14/2007,2.291,49880.9,0
8/15/2007,2.304,47714.1,0
8/16/2007,2.291,44473.3,0
8/17/2007,2.304,46576.9,0
8/20/2007,2.304,46148.8,0
8/21/2007,2.291,45265,0
8/22/2007,2.304,46882,0
8/23/2007,2.291,47388.6,0
8/24/2007,2.403,46824,0
8/27/2007,2.316,47914.4,0
8/28/2007,2.328,47750.7,0
8/29/2007,2.316,48082.2,0
8/30/2007,2.316,48082.2,0
8/31/2007,2.341,50198.6,0
9/3/2007,2.316,49936.9,1
9/4/2007,2.291,50032.6,0
9/5/2007,2.291,49421.4,0
9/6/2007,2.304,49601.4,0
9/7/2007,2.304,49050.4,0
9/10/2007,2.304,48548.9,0
9/11/2007,2.304,49296.2,0
9/12/2007,2.291,49233.1,0
9/13/2007,2.291,49680.5,0
9/14/2007,2.291,50620.9,0
9/17/2007,2.291,50536.5,0
9/18/2007,2.291,50500.9,0
9/19/2007,2.304,53884.1,0
9/20/2007,2.304,53543.1,0
9/21/2007,2.291,53882.1,0
9/24/2007,2.291,53580.7,0
9/25/2007,2.304,52893.2,0
9/26/2007,2.291,54245.8,0
9/27/2007,2.291,54390.2,0
9/28/2007,2.291,54044.2,0
10/1/2007,2.291,54198,0
10/2/2007,2.291,54733.3,0
10/3/2007,2.316,54164.9,0
10/4/2007,2.304,54915.9,0
10/5/2007,2.304,56793,0
10/8/2007,2.328,56279.1,1
10/9/2007,2.328,57910.6,0
10/10/2007,2.304,57418,0
10/11/2007,2.304,58053.4,0
10/12/2007,2.304,58053.4,0
10/15/2007,2.316,58231.9,0
10/16/2007,2.341,57185.4,0
10/17/2007,2.328,57931.9,0
10/18/2007,2.316,56268.2,0
10/19/2007,2.316,55486.8,0
10/22/2007,2.304,53969.8,1
10/23/2007,2.328,55752.2,0
10/24/2007,2.304,55638.9,0
10/25/2007,2.304,55728.6,0
10/26/2007,2.341,56446.6,0
10/29/2007,2.341,56446.6,0
10/30/2007,2.341,56774.3,0
10/31/2007,2.328,57615.7,0
11/1/2007,2.328,57371.3,0
11/2/2007,2.304,56855.1,0
11/5/2007,2.304,56064.3,1
11/6/2007,2.328,56906,0
11/7/2007,2.341,56076.4,0
11/8/2007,2.353,55160.8,0
11/9/2007,2.316,53689.1,0
11/12/2007,2.353,54084,0
11/13/2007,2.353,54719,0
11/14/2007,2.366,55664.9,0
11/15/2007,2.378,54743,0
11/16/2007,2.477,54304.5,0
11/19/2007,2.452,53262.9,0
11/20/2007,2.44,53577.8,0
11/21/2007,2.415,52615.6,0
11/22/2007,2.415,52199.3,0
11/23/2007,2.44,52331.3,0
11/26/2007,2.403,52682.5,0
11/27/2007,2.415,51452.3,0
11/28/2007,2.427,53202.8,0
11/29/2007,2.415,53181.2,0
11/30/2007,2.415,54213.8,0
12/3/2007,2.415,54320,1
12/4/2007,2.415,54013.3,0
12/5/2007,2.415,55521.2,0
12/6/2007,2.427,56186.9,0
12/7/2007,2.427,56490.6,0
12/10/2007,2.427,56518.6,0
12/11/2007,2.415,56271.3,0
12/12/2007,2.427,56766.2,0
12/13/2007,2.415,55239,0
12/14/2007,2.39,54911.7,0
12/17/2007,2.427,53603.4,0
12/18/2007,2.415,54223.6,0
12/19/2007,2.415,53847.4,0
12/20/2007,2.415,53847.4,0
12/21/2007,2.415,53847.4,0
12/24/2007,2.427,55510.5,1
12/25/2007,2.427,55380.6,0
12/26/2007,2.427,55373.2,0
12/27/2007,2.427,55233,0
12/28/2007,2.427,55698.4,0
12/31/2007,2.427,55538.1,0
1/1/2008,2.427,55538.1,0
1/2/2008,2.427,54708.4,0
1/3/2008,2.427,53541.3,0
